ASH,Ashland Global Holdings Inc,NYSE,4848549990.42
ASB,Associated Banc-Corp,NYSE,3709127505.95
AIZ,Assurant Inc,NYSE,6167137657.8
AGO,Assured Guaranty Ltd,NYSE,4503691000
AZN,Astrazeneca PLC,NYSE,105853654965.92
T,AT&T Inc,NYSE,218246312894.68
ATH,Athene Holding Ltd,NYSE,8138881479
ATO,Atmos Energy Corporation,NYSE,11707566783.36
AUO,AU Optronics Corp,NYSE,3483976729.82
ACB,Aurora Cannabis Inc,NYSE,7845045659
ATHM,Autohome Inc,NYSE,9846860355.36
ALV,Autoliv Inc,NYSE,6690447308.34
AZO,AutoZone Inc,NYSE,23328991340
AVLR,Avalara Inc,NYSE,3629837543.75
AVB,AvalonBay Communities Inc,NYSE,27208622901.48
AGR,Avangrid Inc,NYSE,14924954637.6
AVY,Avery Dennison Corporation,NYSE,9103514058.8
EQH,AXA Equitable Holdings Inc,NYSE,10503194513.88
AXTA,Axalta Coating Systems Ltd,NYSE,6074951318.55
AXS,Axis Capital Holdings Limited,NYSE,4656443287.68
BHGE,Baker Hughes a GE company,NYSE,26666941611.45
BLL,Ball Corporation,NYSE,18391940256.25
BBVA,Banco Bilbao Viscaya Argentaria SA,NYSE,38674400000
BBD,Banco Bradesco Sa,NYSE,74590424854.5
BBDO,Banco Bradesco Sa,NYSE,64510637712
BCH,Banco De Chile,NYSE,46882074166.2
BSBR,Banco Santander Brasil SA,NYSE,85911106454
BSAC,Banco Santander Chile,NYSE,14496218273.32
BSMX,Banco Santander Mexico SA Institucion de Ban,NYSE,8836666650.21
SAN,Banco Santander SA,NYSE,74688240133.2
CIB,BanColombia SA,NYSE,11392840815
BAC,Bank of America Corporation,NYSE,276723467238.6
BOH,Bank of Hawaii Corporation,NYSE,3383901682.92
BMO,Bank Of Montreal,NYSE,48946406772.12
BK,Bank Of New York Mellon Corporation (The),NYSE,49140169186.68
BNS,Bank of Nova Scotia (The),NYSE,66062608304
BKU,BankUnited Inc,NYSE,3450708135
BCS,Barclays PLC,NYSE,35511163525.22
GOLD,Barrick Gold Corporation,NYSE,22653124661.07
BHC,Bausch Health Companies Inc,NYSE,8173827002.61
BAX,Baxter International Inc,NYSE,37994456914.26
BBT,BB&T Corporation,NYSE,37877312502.4
BCE,BCE Inc,NYSE,39674431640.76
BDX,Becton Dickinson and Company,NYSE,66383316866.88
BMS,Bemis Company Inc,NYSE,4835408148.48
BERY,Berry Global Group Inc,NYSE,6793842000
BBY,Best Buy Co Inc,NYSE,18129372703.53
BHP,BHP Group Limited,NYSE,130597025000
BBL,BHP Group Plc,NYSE,113959495000
BIO,Bio-Rad Laboratories Inc,NYSE,9104315307.44
BJ,BJ&#39;s Wholesale Club Holdings Inc,NYSE,3398595106.5
BKH,Black Hills Corporation,NYSE,4368888691.65
BKI,Black Knight Inc,NYSE,7770617404.2
BSM,Black Stone Minerals LP,NYSE,3551669071.59
BB,BlackBerry Limited,NYSE,5024736158.4
BLK,BlackRock Inc,NYSE,66987691739.8
BA,Boeing Company (The),NYSE,238728807956.86
BAH,Booz Allen Hamilton Holding Corporation,NYSE,7469156510.6
BWA,BorgWarner Inc,NYSE,7915474477.31
SAM,Boston Beer Company Inc (The),NYSE,3651166808.64
BXP,Boston Properties Inc,NYSE,20461655474.88
BSX,Boston Scientific Corporation,NYSE,54759355696.26
BP,BP plc,NYSE,142696244782
BAK,Braskem SA,NYSE,11295439587.6
BRFS,BRF SA,NYSE,4203136066.22
BFAM,Bright Horizons Family Solutions Inc,NYSE,7102765295.08
BCO,Brink&#39;s Company (The),NYSE,3608699774.85
BMY,Bristol-Myers Squibb Company,NYSE,83903213319.03
BTI,British American Tobacco plc,NYSE,91727883974.58
BRX,Brixmor Property Group Inc,NYSE,5097734153.31
BR,Broadridge Financial Solutions Inc,NYSE,11445456175.32
BAM,Brookfield Asset Management Inc,NYSE,45161016845.07
BIP,Brookfield Infrastructure Partners LP,NYSE,11196534319.3
BEP,Brookfield Renewable Partners LP,NYSE,5499925035.04
BRO,Brown & Brown Inc,NYSE,8074991889.84
BC,Brunswick Corporation,NYSE,4510683267.75
BT,BT Group plc,NYSE,28438781169.54
BPL,Buckeye Partners LP,NYSE,5152201476.5
BVN,Buenaventura Mining Company Inc,NYSE,4195863042.84
BG,Bunge Limited,NYSE,7088366633.47
BURL,Burlington Stores Inc,NYSE,9674381377.44
BWXT,BWX Technologies Inc,NYSE,4620918329.97
CABO,Cable One Inc,NYSE,5248139871.18
COG,Cabot Oil & Gas Corporation,NYSE,10444470057.5
CACI,CACI International Inc,NYSE,4459360240.64
CAE,CAE Inc,NYSE,5512518502.4
CPT,Camden Property Trust,NYSE,9243865879.92
CCJ,Cameco Corporation,NYSE,4614943255.12
CPB,Campbell Soup Company,NYSE,10843065444.48
CM,Canadian Imperial Bank of Commerce,NYSE,37034622299.92
CNI,Canadian National Railway Company,NYSE,62773746342.78
CNQ,Canadian Natural Resources Limited,NYSE,32180380015.32
CP,Canadian Pacific Railway Limited,NYSE,28738146823.84
CAJ,Canon Inc,NYSE,30610966421.7
CGC,Canopy Growth Corporation,NYSE,15604411935.6
COF,Capital One Financial Corporation,NYSE,38071450362.01
BXMT,Capital Trust Inc,NYSE,4207944992
CPRI,Capri Holdings Limited,NYSE,6567876996.54
CAH,Cardinal Health Inc,NYSE,14215394348.1
CSL,Carlisle Companies Incorporated,NYSE,6957606883.59
KMX,CarMax Inc,NYSE,9929686882.92
CCL,Carnival Corporation,NYSE,39501200791.64
CUK,Carnival Corporation,NYSE,38809018614.87
CRI,Carter&#39;s Inc,NYSE,4210729938.7
CTLT,Catalent Inc,NYSE,6148612636.22
CAT,Caterpillar Inc,NYSE,75597538636.3
CBRE,CBRE Group Inc,NYSE,17074694327.18
CBS,CBS Corporation,NYSE,18279258866.83
CE,Celanese Corporation,NYSE,12781829674.26
CX,Cemex SAB de CV,NYSE,6994649781.85
CVE,Cenovus Energy Inc,NYSE,10087615235.07
CNC,Centene Corporation,NYSE,23368916805.92
